,,Setup,,Auto,,,,,,,,,,,Teleop,,,,,,,,,
Alliance ,Team #,Hatches Hab,Balls Hab,"Cross line (0, 1, 2)",Hatches (#),,,,Balls (#),,,,"Prepares for teleop (0, 1)",Hatches (#),,,,Balls (#),,,,"Climb Level (0, 1, 2, 3)","Radio Problems (0, 1)","Match Winner (Blue = 0, Red = 1, Tie = 2)"
,,,,,Center,Lv. 1,Lv. 2,Lv. 3,Center,Lv. 1,Lv. 2,Lv. 3,,Center,Lv. 1,Lv. 2,Lv. 3,Center,Lv. 1,Lv. 2,Lv. 3,,,
,2945,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,
Del Mar Q21,,,,,,,,,,,,,,,,,,,,,,,,
Red,4738,6,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,2
,6560,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,
,3341,,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,
Blue,585,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,5137,,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,
,114,,,1,0,0,0,0,0,0,0,0,1,0,2,0,0,5,2,0,0,0,1,
Del Mar Q26,,,,,,,,,,,,,,,,,,,,,,,,
Red,6918,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
,399,,,2,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,
,8,,,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,
Blue,4738,6,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,
,3021,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
,2576,,,2,1,0,0,0,1,0,0,0,1,0,0,0,0,6,1,0,0,1,0,
Del Mar Q29,,,,,,,,,,,,,,,,,,,,,,,,
Red,2102,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,1
,4414,,,2,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,0,
,3647,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,
Blue,3255,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,
,6948,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,
,7426,,,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,1,0,
Del Mar Q31,,,,,,,,,,,,,,,,,,,,,,,,
Red,399,6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,1
,7137,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
,5137,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,
Blue,5526,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
,2102,,,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
,2543,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,
Del Mar Q32,,,,,,,,,,,,,,,,,,,,,,,,
Red,5059,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
,6918,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,
,3255,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,
Blue,114,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,
,6948,,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,2,2,0,2,0,
,5025,,,1,1,0,0,0,1,0,0,0,1,0,3,2,0,0,0,0,0,1,0,
Del Mar Q35,,,,,,,,,,,,,,,,,,,,,,,,
Red,359,6,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,4,0,0,0,3,0,1
,2945,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,
,3256,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Blue,585,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,2984,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,4738,,,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,
Del Mar Q37,,,,,,,,,,,,,,,,,,,,,,,,
Red,2945,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0
,5526,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
,7137,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Blue,2576,6,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0,2,1,0,
,7426,,,2,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,
,2102,,,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0,
Del Mar Q38,,,,,,,,,,,,,,,,,,,,,,,,
Red,2543,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0
,6918,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,
,3021,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
